,num_sulphur,num_polar_non_positive_non_negative,num_polar,num_positive,num_negative,num_hydrophobic,num_aromatic,num_non_aromatic,num_hydroxylic,num_amidic,num_aliphatic,num_essential,weight,hydrophobicity,hydration_energy,num_large_chains,sidechain_volume,polarity,sasa
0,2,20,41,11,10,11,14,64,11,9,13,40,11220.500000000013,-81.79999999999998,-188.90000000000012,44,6037.500000000001,666.8000000000001,146.37000000000006
1,3,5,10,2,3,10,4,25,3,2,11,11,3869.899999999998,3.1000000000000005,-41.56,15,1997.2999999999997,228.10000000000002,50.383
2,3,11,32,16,5,17,14,59,4,7,18,45,10637.700000000006,-49.9,-146.52,49,6053.499999999999,592.3999999999999,140.09800000000004
3,2,15,36,14,7,17,15,63,7,8,20,38,11182.90000000001,-49.00000000000001,-175.44999999999996,52,6335.9000000000015,643.1999999999999,147.45099999999994
4,5,8,17,7,2,13,8,31,7,1,8,21,5447.899999999998,-2.700000000000001,-103.70999999999998,20,2876.3,301.5999999999999,70.242
5,0,4,9,4,1,3,2,18,2,2,6,12,2706.7999999999993,-9.100000000000001,-35.60999999999999,12,1422.1000000000001,167.10000000000002,35.911
6,6,15,28,4,9,27,9,57,8,7,22,30,8897.000000000002,8.0,-76.69,33,4639.5,526.3999999999997,116.15800000000003
7,1,7,27,13,7,11,11,48,3,4,18,27,8488.0,-61.1,-137.61999999999995,36,4625.2,500.1999999999998,109.612
8,0,16,27,8,3,12,10,47,5,11,16,24,7917.999999999996,-40.19999999999998,-136.48999999999998,36,4354.200000000001,480.4999999999997,104.71400000000003
9,7,9,33,18,6,23,12,68,6,3,26,35,11095.000000000011,-37.899999999999984,-172.92000000000016,47,5984.800000000002,650.9999999999997,144.13200000000003
10,0,11,18,4,3,10,5,32,5,6,13,19,4983.499999999999,-8.3,-45.57999999999999,22,2738.7,306.79999999999995,66.266
11,0,5,13,4,4,1,5,15,3,2,2,7,2928.699999999999,-37.0,-66.06,11,1553.1999999999998,186.39999999999998,38.366
12,4,8,14,5,1,11,8,25,5,3,5,16,4782.399999999998,-7.6000000000000005,-90.03999999999998,21,2681.1000000000004,250.1,62.26800000000001
13,2,11,32,13,8,22,12,69,3,8,33,34,11152.900000000014,-52.6,-133.19999999999996,47,6081.3,674.1999999999999,146.942
14,1,2,8,5,1,7,4,18,2,0,8,15,3054.1999999999994,2.6999999999999984,-31.9,15,1741.0999999999997,170.00000000000003,40.61099999999999
15,2,9,20,8,3,13,6,39,3,6,15,23,6161.599999999999,-11.600000000000001,-60.68999999999997,30,3448.699999999999,371.90000000000003,82.113
16,3,13,28,7,8,8,5,46,7,6,13,13,6793.099999999999,-64.1,-124.28,19,3235.5000000000005,462.8999999999999,85.99400000000001
17,2,28,49,12,9,25,15,80,16,12,25,48,12990.300000000017,-38.200000000000024,-169.81000000000014,55,7095.100000000001,794.2000000000003,171.64600000000002
18,6,15,27,10,2,21,7,58,6,9,23,31,8585.500000000004,-1.3000000000000016,-97.84000000000002,36,4510.799999999999,523.9999999999999,112.239
19,0,5,7,0,2,7,6,15,2,3,7,11,2952.8999999999987,2.499999999999999,-20.09,14,1667.5,160.10000000000002,39.016000000000005
20,4,23,44,12,9,18,17,82,11,12,27,43,13663.900000000021,-74.2,-202.59000000000012,51,7188.200000000003,827.0999999999999,177.364
21,1,13,20,4,3,8,8,38,4,9,14,15,6301.499999999999,-29.899999999999995,-97.59999999999995,24,3339.3,386.2,81.46600000000001
22,5,7,24,11,6,18,6,50,3,4,19,26,7535.300000000001,-15.099999999999996,-73.48999999999997,33,4001.6999999999994,467.6000000000001,99.385
23,4,8,21,7,6,15,9,47,2,6,20,21,7806.5999999999985,-27.3,-82.46999999999997,33,4301.4,451.9999999999999,103.13000000000001
24,1,9,21,7,5,4,5,32,3,6,8,15,5157.399999999998,-55.39999999999999,-69.57999999999998,20,2811.099999999999,337.1000000000001,69.533
25,2,9,20,5,6,9,8,37,4,5,13,16,6103.2,-30.700000000000003,-79.88,20,3098.1,385.9,79.197
26,5,16,51,24,11,22,5,85,11,5,25,46,12112.500000000016,-64.2,-186.92000000000002,49,6184.099999999999,791.0000000000001,157.43500000000006
27,1,5,9,4,0,7,6,22,1,4,10,11,3860.299999999998,-7.000000000000003,-56.69999999999998,17,2123.2000000000003,219.69999999999996,50.44500000000001
28,7,21,45,12,12,28,15,83,11,10,28,37,13401.10000000002,-48.699999999999996,-183.72000000000006,51,6987.5,817.0000000000001,174.11100000000005
29,2,4,9,5,0,5,4,17,1,3,6,7,2853.1999999999994,-16.499999999999996,-52.96,13,1542.1999999999998,176.70000000000002,37.418000000000006
30,3,7,22,11,4,12,10,43,4,3,16,25,7257.9,-36.6,-106.98999999999995,31,3839.2000000000003,440.39999999999986,95.54800000000002
31,1,7,20,9,4,10,5,40,2,5,15,20,6221.699999999998,-27.299999999999997,-92.35999999999996,28,3322.8999999999996,378.5999999999999,80.49000000000002
32,2,12,22,5,5,12,7,51,9,3,26,22,7427.300000000004,-24.90000000000001,-86.11999999999998,22,3601.200000000001,477.99999999999994,96.362
33,1,7,11,2,2,8,1,22,3,4,9,10,3052.4999999999986,4.700000000000001,-27.060000000000002,13,1646.4,186.0,40.148
34,0,3,6,2,1,6,1,14,1,2,8,6,1953.3999999999996,6.5,-12.23,10,1078.6999999999998,120.00000000000001,25.485999999999997
35,7,18,33,7,8,16,12,63,12,6,20,32,10138.600000000008,-47.20000000000001,-140.88999999999996,31,5125.299999999999,620.5000000000001,131.458
36,3,4,14,7,3,9,7,25,3,1,8,14,4415.799999999998,-18.799999999999997,-72.45999999999998,17,2333.7,266.3,57.64900000000001
37,4,20,40,10,10,25,14,74,9,11,26,37,12366.500000000013,-29.400000000000006,-171.33000000000007,54,6721.000000000001,717.3999999999999,160.10899999999998
38,1,3,6,3,0,4,5,12,1,2,5,7,2311.6999999999994,-10.899999999999999,-41.93,10,1238.1,138.2,30.73
39,5,14,32,9,9,25,15,67,4,10,26,36,11618.20000000001,-14.499999999999998,-146.01000000000002,52,6440.5,651.5999999999999,152.297
40,0,9,20,3,8,7,6,30,4,5,10,12,4989.4,-43.0,-65.63000000000001,16,2538.0999999999995,327.10000000000014,64.037
41,7,9,20,3,8,22,10,49,5,4,18,28,8042.6,17.000000000000004,-48.72,29,4243.5,456.49999999999994,104.705
42,0,8,18,8,2,13,3,34,1,7,14,16,5111.5999999999985,-7.099999999999997,-73.07999999999996,27,2892.6999999999994,312.9999999999999,65.69500000000002
43,4,5,15,6,4,5,6,22,3,2,1,14,4229.399999999999,-33.9,-79.25,15,2310.3999999999996,236.89999999999998,54.294000000000004
44,3,12,25,6,7,14,10,48,7,5,15,29,7954.400000000001,-17.09999999999999,-75.87999999999998,30,4233.2,474.79999999999995,104.53700000000002
45,5,21,41,14,6,28,16,74,10,11,26,44,12185.200000000013,-22.3,-168.01000000000002,53,6473.800000000001,738.5000000000001,159.99200000000005
46,4,6,22,9,7,13,11,46,3,3,12,24,8170.0999999999985,-29.400000000000006,-120.12999999999992,35,4423.4,459.89999999999986,105.92100000000003
47,6,18,45,15,12,23,8,79,7,11,26,38,11745.200000000013,-49.2,-127.65999999999997,48,6142.0,754.8000000000001,154.19100000000006
48,0,1,4,2,1,2,4,10,0,1,5,5,2012.2,-9.0,-27.96,10,1153.7,110.50000000000001,26.468999999999998
49,1,16,28,9,3,8,3,52,7,9,20,21,7003.700000000002,-44.19999999999999,-101.89999999999998,25,3422.399999999999,486.40000000000015,90.71400000000001
50,2,15,30,8,7,19,9,51,9,6,17,30,8157.300000000004,-15.899999999999999,-106.40999999999991,33,4286.900000000001,501.8,105.79200000000002
51,1,9,16,5,2,12,5,36,6,3,18,19,5350.099999999998,-1.5000000000000018,-63.65999999999999,22,2760.2999999999997,325.59999999999985,70.71300000000001
52,6,14,38,15,9,25,9,70,7,7,26,37,10887.70000000001,-40.9,-148.26000000000005,44,5821.600000000001,661.2999999999997,141.70199999999997
53,3,4,22,6,12,17,6,49,2,2,24,19,7348.500000000003,-17.900000000000002,-47.04,26,3685.2999999999997,466.3,94.59300000000002
54,0,7,22,8,7,12,4,40,3,4,18,18,6027.4,-28.099999999999994,-72.54999999999998,27,3222.2000000000003,382.19999999999993,77.30200000000004
55,3,16,27,6,5,18,13,50,12,4,15,36,8680.700000000004,6.400000000000013,-105.94999999999987,37,4713.100000000001,490.7999999999997,114.82399999999997
56,0,10,33,13,10,20,13,60,3,7,23,40,10157.000000000007,-42.5,-94.33999999999993,47,5584.400000000001,621.8000000000002,135.35199999999998
57,1,7,33,18,8,17,7,60,4,3,24,33,9100.400000000003,-45.10000000000002,-128.40999999999994,41,4762.3,583.0,118.382
58,5,21,42,15,6,17,17,73,12,9,22,43,12599.400000000014,-71.70000000000002,-224.7900000000001,51,6753.4000000000015,746.7999999999997,164.40600000000003
59,0,1,10,5,4,4,7,15,1,0,5,8,3204.099999999999,-28.9,-53.37,13,1739.3,193.1,41.04600000000001
60,5,7,32,15,10,18,8,57,5,2,18,27,8930.300000000001,-45.59999999999999,-133.73999999999998,37,4610.8,559.6999999999999,115.72899999999998
61,1,4,11,3,4,2,4,16,2,2,3,10,2941.5,-27.599999999999994,-48.85000000000001,10,1538.3999999999999,175.70000000000005,38.04199999999998
62,5,11,29,7,11,20,7,64,5,6,27,30,9487.600000000006,-25.69999999999999,-80.64000000000001,34,4749.0,591.8,122.173
63,2,12,27,8,7,18,9,67,5,7,32,36,10099.500000000007,-8.999999999999996,-78.20999999999997,40,5287.400000000001,615.8,132.23300000000003
64,1,12,31,15,4,13,7,61,9,3,21,36,9101.400000000005,-36.6,-114.25999999999995,40,4868.4000000000015,569.2999999999998,120.38700000000003
65,2,21,40,8,11,20,14,68,7,14,19,37,11603.100000000011,-54.90000000000002,-142.19999999999996,47,6289.8,690.7000000000002,151.06
66,0,9,19,6,4,8,5,31,8,1,9,21,4916.199999999998,-14.3,-76.10999999999997,21,2604.7999999999997,300.09999999999985,64.776
67,3,7,30,9,14,12,10,54,3,4,12,27,9111.400000000001,-42.20000000000001,-88.71999999999997,34,4829.1,552.7,117.22300000000003
68,1,11,24,12,1,13,13,37,6,5,11,29,7241.899999999999,-30.700000000000003,-145.35999999999993,35,4162.5,404.89999999999986,95.923
69,1,11,19,5,3,15,12,50,8,3,29,30,8350.700000000003,8.999999999999998,-81.09999999999997,33,4576.000000000001,472.2999999999999,110.17599999999999
70,1,4,11,2,5,8,6,26,3,1,11,14,4301.499999999999,-2.800000000000005,-31.859999999999996,17,2207.1,257.9,56.50100000000001
71,0,13,23,5,5,8,4,39,7,6,10,21,5788.0999999999985,-20.800000000000008,-74.85000000000001,23,2981.6,369.29999999999984,75.78300000000002
72,2,15,29,10,4,12,8,50,6,9,14,23,8101.0999999999985,-39.0,-145.95000000000002,36,4366.5,488.1999999999999,104.15900000000003
73,0,12,38,13,13,10,6,55,7,5,17,26,8416.200000000003,-86.09999999999998,-124.00999999999995,30,4331.300000000001,569.7999999999998,109.47199999999998
74,2,18,37,12,7,26,20,68,9,9,24,44,12238.600000000017,-16.39999999999999,-166.3100000000001,55,6673.800000000001,707.8000000000002,160.41200000000003
75,2,18,37,10,9,19,5,65,9,9,23,33,9481.400000000003,-37.0,-105.60000000000001,39,5053.2,598.9,123.12800000000004
76,1,2,11,8,1,7,3,19,0,2,6,13,3106.7999999999993,-14.3,-50.13000000000001,18,1770.8999999999999,187.60000000000002,41.411
77,1,11,26,8,7,19,17,57,6,5,27,37,10025.30000000001,-12.29999999999999,-94.47999999999996,41,5331.200000000001,596.1,131.877
78,3,20,44,14,10,17,13,62,10,10,15,36,10716.400000000009,-80.99999999999999,-183.72000000000006,42,5851.599999999999,657.9,139.255
79,4,19,37,7,11,21,20,64,8,11,20,35,11897.000000000015,-48.49999999999998,-156.92,47,6444.4000000000015,692.7000000000004,155.67399999999998
80,4,12,23,9,2,20,11,53,5,7,25,27,8584.900000000003,-8.3,-106.78999999999996,35,4590.199999999999,509.29999999999984,111.41700000000002
81,5,15,38,14,9,18,9,67,8,7,21,36,10431.900000000007,-43.50000000000001,-130.44,39,5560.5,646.8000000000002,137.181
82,2,4,11,3,4,6,6,20,1,3,6,10,3772.3999999999987,-21.400000000000002,-47.17000000000001,13,2076.1,217.89999999999998,49.175
83,0,16,26,5,5,8,4,41,7,9,11,17,6052.5999999999985,-40.300000000000004,-98.76,23,3079.7999999999993,398.5999999999999,78.32800000000002
84,2,6,19,9,4,14,10,39,4,2,18,21,6712.799999999998,-14.099999999999987,-98.98999999999991,28,3654.2,395.2999999999999,88.48299999999996
85,0,7,17,4,6,9,2,31,3,4,14,15,4180.299999999997,-12.7,-7.719999999999999,16,2120.2,297.6000000000001,55.96700000000002
86,0,8,15,4,3,5,2,24,4,4,9,9,3284.499999999998,-25.9,-49.839999999999996,11,1554.2,239.7,42.74400000000001
87,7,19,43,20,4,23,9,83,14,5,32,45,11924.300000000017,-53.29999999999999,-194.0400000000001,44,5902.400000000001,772.9999999999998,155.59300000000005
88,0,5,12,6,1,6,11,23,0,5,9,12,5042.699999999998,-32.099999999999994,-103.84999999999997,26,2940.0000000000005,272.29999999999995,66.04500000000002
89,8,13,26,10,3,19,5,50,7,6,15,28,7419.499999999999,-10.200000000000001,-86.32,31,3998.2000000000003,445.59999999999997,97.72000000000001
90,2,9,13,4,0,14,4,36,4,5,18,20,5144.799999999999,22.3,-32.41,22,2773.5999999999995,307.09999999999997,67.70400000000001
91,1,6,18,10,2,4,3,23,3,3,4,13,3715.999999999998,-46.79999999999999,-96.46,16,2019.1999999999998,242.20000000000002,49.05400000000001
92,4,8,21,9,4,9,11,37,4,4,10,17,7075.699999999999,-45.2,-150.29000000000002,27,3879.6000000000004,390.7999999999999,89.568
93,6,20,36,9,7,20,7,71,12,8,20,37,10514.500000000013,-15.800000000000002,-130.96000000000004,42,5453.500000000001,635.3000000000002,136.33999999999997
94,3,17,32,10,5,17,7,65,9,8,25,34,9430.700000000004,-27.3,-96.55999999999999,39,4898.3,600.0,124.60000000000002
95,1,8,20,8,4,8,11,32,4,4,7,21,6404.299999999998,-34.0,-116.43999999999996,28,3663.5999999999995,351.3999999999999,83.703
96,1,4,9,3,2,6,4,15,3,1,5,8,2610.599999999999,-8.700000000000001,-40.790000000000006,10,1371.5,158.20000000000002,33.564
97,0,12,18,4,2,8,4,34,4,8,14,21,5094.0999999999985,-19.5,-63.08000000000001,23,2674.2,318.0,67.05499999999999
98,0,2,8,2,4,4,2,17,2,0,7,9,2578.4999999999995,-5.8000000000000025,-12.63,10,1362.0,159.5,33.846
99,3,11,25,7,7,10,4,41,5,6,12,19,6114.9,-39.39999999999999,-84.57000000000002,20,3072.9,400.90000000000003,78.58900000000001
