,num_sulphur,num_polar_non_positive_non_negative,num_polar,num_positive,num_negative,num_hydrophobic,num_aromatic,num_non_aromatic,num_hydroxylic,num_amidic,num_aliphatic,num_essential,weight,hydrophobicity,hydration_energy,num_large_chains,sidechain_volume,polarity,sasa
0,0,0,1,0,1,0,0,1,0,0,0,0,147.1,-3.5,1.04,0,62.0,12.3,1.862
1,0,1,1,0,0,0,0,1,1,0,0,1,119.1,-0.7,-4.18,0,51.3,8.6,1.525
2,0,0,0,0,0,1,1,0,0,0,0,1,165.2,2.8,-0.33,1,115.5,5.2,2.228
3,0,0,1,0,1,1,2,2,0,0,1,2,577.4,-2.0,-1.5200000000000005,2,301.0,32.6,7.359
4,0,0,0,0,0,0,1,0,0,0,0,1,204.0,-0.9,-3.49,1,145.5,5.4,2.663
5,0,0,0,0,0,1,2,0,0,0,0,2,369.2,1.9,-3.8200000000000003,2,261.0,10.600000000000001,4.891
6,0,1,1,0,0,2,2,2,1,0,1,4,605.4,5.3999999999999995,-5.21,3,383.8,25.1,8.061
7,0,0,0,0,0,1,1,1,0,0,1,2,335.2,2.9,-0.4800000000000004,2,239.0,10.3,4.593999999999999
8,0,0,0,0,0,2,2,1,0,0,1,3,500.4,5.699999999999999,-0.8100000000000005,3,354.5,15.5,6.821999999999999
9,0,0,0,0,0,3,2,2,0,0,2,4,617.5,9.899999999999999,1.9799999999999995,4,426.0,21.4,8.466999999999999
10,0,2,2,0,0,1,1,5,0,2,3,2,843.7,-7.300000000000001,-11.51,3,462.2,48.4,11.117
11,0,3,7,3,1,2,0,12,1,2,5,5,1578.6999999999998,-16.9,-21.82,6,834.0,110.99999999999999,21.115
12,0,0,1,1,0,0,0,2,0,0,1,1,221.29999999999998,-4.3,-1.3199999999999998,1,100.0,20.3,3.1390000000000002
13,0,0,1,1,0,0,0,1,0,0,0,0,174.2,-4.5,-9.91,1,105.0,10.5,1.932
14,0,7,12,3,2,4,1,19,4,3,7,11,2604.999999999999,-19.8,-28.75,10,1382.5,177.60000000000002,35.318000000000005
15,0,3,9,3,3,3,0,16,3,0,6,7,2002.9999999999998,-10.8,-16.36,7,956.9,146.20000000000002,26.378999999999998
16,0,0,0,0,0,0,1,1,0,0,1,1,279.1,-1.3,-2.0100000000000002,1,145.5,14.4,3.5439999999999996
17,0,0,0,0,0,1,1,2,0,0,2,2,410.29999999999995,2.5,0.9999999999999996,2,239.0,19.3,5.475
18,0,0,1,1,0,0,0,1,0,0,0,1,146.2,-3.9,-2.8,1,100.0,11.3,2.258
19,0,0,0,0,0,1,2,1,0,0,1,2,444.3,1.4999999999999998,-2.3400000000000003,2,261.0,19.6,5.772
20,0,0,0,0,0,2,2,2,0,0,2,3,575.5,5.3,0.6699999999999995,3,354.5,24.5,7.702999999999999
21,0,0,0,0,0,1,0,1,0,0,1,1,131.2,3.8,3.01,1,93.5,4.9,1.931
22,0,1,1,0,0,2,2,4,1,0,3,4,769.7,4.199999999999999,-2.0299999999999994,3,405.8,42.1,10.109
23,0,1,1,0,0,2,1,2,1,0,1,3,415.5,5.8999999999999995,-1.5,2,260.3,18.7,5.684
24,0,1,1,0,0,2,2,3,1,0,2,4,694.6000000000001,4.6,-3.51,3,405.8,33.1,9.228
25,0,1,1,0,0,2,2,2,1,0,1,4,619.5,5.0,-4.99,3,405.8,24.099999999999998,8.347
26,0,0,0,0,0,0,1,0,0,0,0,1,204.0,-0.9,-3.49,1,145.5,5.4,2.663
27,0,0,0,0,0,1,2,0,0,0,0,2,369.2,1.9,-3.8200000000000003,2,261.0,10.600000000000001,4.891
28,0,0,0,0,0,0,1,1,0,0,1,1,279.1,-1.3,-2.0100000000000002,1,145.5,14.4,3.5439999999999996
29,0,0,0,0,0,1,2,1,0,0,1,2,444.3,1.4999999999999998,-2.3400000000000003,2,261.0,19.6,5.772
30,0,0,0,0,0,2,2,2,0,0,2,3,575.5,5.3,0.6699999999999995,3,354.5,24.5,7.702999999999999
31,0,0,0,0,0,2,2,1,0,0,1,3,500.4,5.699999999999999,-0.8100000000000005,3,354.5,15.5,6.821999999999999
32,0,0,0,0,0,1,2,0,0,0,0,2,369.2,1.9,-3.8200000000000003,2,261.0,10.600000000000001,4.891
33,0,0,2,1,1,0,0,2,0,0,0,1,293.29999999999995,-7.4,-1.7599999999999998,1,162.0,23.6,4.12
34,0,0,2,1,1,1,1,2,0,0,0,2,458.49999999999994,-4.6,-2.09,2,277.5,28.8,6.348
35,0,0,1,1,0,2,1,2,0,0,1,3,442.59999999999997,2.6999999999999997,-0.1200000000000001,3,309.0,21.400000000000002,6.417000000000001
36,0,1,3,1,1,2,1,4,1,0,1,3,694.8,-1.6,-4.87,3,400.3,42.900000000000006,9.577000000000002
37,0,1,3,1,1,0,0,3,0,1,0,1,448.5,-10.2,-10.5,2,221.7,33.2,5.819
38,0,0,1,1,0,0,0,1,0,0,0,1,146.2,-3.9,-2.8,1,100.0,11.3,2.258
39,0,1,3,1,1,1,0,4,1,0,1,2,529.5999999999999,-4.4,-4.54,2,284.8,37.7,7.349
40,0,1,1,0,0,0,0,3,0,1,2,0,282.29999999999995,-4.3,-1.4699999999999998,0,58.7,29.6,3.417
41,0,1,4,1,2,2,0,7,0,1,3,3,938.1,-5.0,3.42,4,519.2,64.3,12.957
42,0,0,2,1,1,0,0,3,0,0,1,0,396.4,-8.4,-7.39,1,167.0,31.8,4.675
43,0,0,0,0,0,0,1,1,0,0,1,1,279.1,-1.3,-2.0100000000000002,1,145.5,14.4,3.5439999999999996
44,0,0,0,0,0,0,1,1,0,0,1,1,279.1,-1.3,-2.0100000000000002,1,145.5,14.4,3.5439999999999996
45,0,0,0,0,0,2,2,2,0,0,2,3,575.5,5.299999999999999,0.6699999999999995,3,354.5,24.5,7.702999999999999
46,0,0,0,0,0,1,1,3,0,0,3,2,485.4,2.1,2.4799999999999995,2,239.0,28.3,6.356
47,0,0,0,0,0,1,1,2,0,0,2,2,410.29999999999995,2.5,0.9999999999999996,2,239.0,19.3,5.475
48,0,0,0,0,0,1,1,2,0,0,2,2,410.29999999999995,2.5,0.9999999999999996,2,239.0,19.3,5.475
49,0,0,2,1,1,2,1,3,0,0,1,3,589.6999999999999,-0.8000000000000003,0.9199999999999999,3,371.0,33.7,8.279
50,0,0,1,1,0,1,1,1,0,0,0,2,311.4,-1.1,-3.13,2,215.5,16.5,4.486000000000001
51,0,0,2,1,1,1,0,5,0,0,3,2,574.6999999999999,-4.4,4.209999999999999,2,255.5,46.5,7.813000000000001
52,0,0,1,1,0,0,0,1,0,0,0,1,146.2,-3.9,-2.8,1,100.0,11.3,2.258
53,0,0,1,1,0,0,0,2,0,0,1,0,249.29999999999998,-4.9,-8.43,1,105.0,19.5,2.8129999999999997
54,0,0,1,1,0,2,2,3,0,0,2,3,749.6999999999999,0.7999999999999993,-9.24,4,459.5,35.0,9.635
55,0,0,0,0,0,0,1,0,0,0,0,1,204.0,-0.9,-3.49,1,145.5,5.4,2.663
56,0,0,0,0,0,1,2,0,0,0,0,2,369.2,1.9,-3.8200000000000003,2,261.0,10.600000000000001,4.891
57,0,0,0,0,0,0,1,1,0,0,1,1,279.1,-1.3,-2.0100000000000002,1,145.5,14.4,3.5439999999999996
58,0,0,0,0,0,1,1,1,0,0,1,2,335.2,2.9,-0.4800000000000004,2,239.0,10.3,4.593999999999999
59,0,16,22,2,4,2,0,26,14,2,4,15,3197.0999999999985,-29.199999999999992,-63.76,5,1432.0999999999997,243.99999999999994,41.74799999999999
60,0,0,1,0,1,0,0,1,0,0,0,0,147.1,-3.5,1.04,0,62.0,12.3,1.862
61,0,1,1,0,0,0,0,1,1,0,0,0,105.1,-0.8,-5.79,0,29.3,9.2,1.298
62,0,1,2,0,1,0,0,2,1,0,0,0,252.2,-4.3,-4.75,0,91.3,21.5,3.16
63,0,4,9,3,2,5,3,15,1,3,6,11,2564.4999999999995,-12.400000000000002,-17.509999999999998,12,1523.3,152.7,35.062
64,0,4,9,3,2,2,3,12,1,3,3,8,2185.0,-24.199999999999996,-26.32,9,1264.8,136.99999999999997,29.554999999999996
65,0,4,9,3,2,3,3,13,1,3,4,9,2302.0999999999995,-20.0,-23.53,10,1336.3,142.89999999999998,31.2
66,0,5,11,4,2,3,3,15,2,3,4,11,2567.399999999999,-24.599999999999998,-30.509999999999998,11,1487.6,162.79999999999998,34.98299999999999
67,0,5,9,3,1,3,3,13,2,3,4,10,2274.0999999999995,-17.2,-28.75,10,1325.6,139.19999999999996,30.862999999999996
68,0,4,6,0,2,2,0,10,0,4,4,2,1331.4999999999998,-12.5,-7.36,5,681.2,93.9,17.564999999999998
69,0,4,6,0,2,2,3,9,1,3,3,5,1746.3999999999999,-12.500000000000004,-17.919999999999998,6,964.8,103.10000000000001,22.781000000000002
70,0,5,7,1,1,3,3,11,2,3,4,8,1981.6999999999998,-9.400000000000002,-23.15,8,1125.6,116.60000000000001,26.346999999999998
71,0,0,0,0,0,0,1,0,0,0,0,1,204.0,-0.9,-3.49,1,145.5,5.4,2.663
72,0,0,0,0,0,1,1,1,0,0,1,2,335.2,2.9,-0.4800000000000004,2,239.0,10.3,4.593999999999999
73,1,8,15,4,3,5,1,23,4,4,7,12,3190.3999999999987,-22.4,-34.78,12,1694.1000000000001,215.80000000000004,42.527
74,0,1,3,1,1,0,0,3,0,1,0,0,453.4,-11.5,-13.3,1,225.7,34.400000000000006,5.449
75,0,1,3,1,1,1,0,4,0,1,1,1,570.5,-7.3,-10.510000000000002,2,297.2,40.3,7.093999999999999
76,0,0,1,1,0,1,1,1,0,0,0,2,311.4,-1.1,-3.13,2,215.5,16.5,4.486000000000001
77,0,0,2,1,1,2,1,3,0,0,1,3,589.7,-0.8000000000000003,0.9199999999999999,3,371.0,33.7,8.279
78,0,0,0,0,0,1,0,1,0,0,1,1,131.2,3.8,3.01,1,93.5,4.9,1.931
79,0,1,1,0,0,1,0,2,1,0,1,1,236.29999999999998,3.0,-2.7800000000000002,1,122.8,14.1,3.229
80,0,1,2,0,1,0,0,2,1,0,0,0,252.2,-4.3,-4.75,0,91.3,21.5,3.16
81,0,1,1,0,0,0,0,2,1,0,1,0,180.2,-1.2000000000000002,-4.3100000000000005,0,29.3,18.2,2.1790000000000003
82,0,4,7,2,1,4,1,12,3,1,5,8,1604.5999999999997,0.5000000000000004,-16.360000000000003,6,789.1000000000001,112.0,21.373
83,0,0,0,0,0,0,1,0,0,0,0,1,204.0,-0.9,-3.49,1,145.5,5.4,2.663
84,0,0,0,0,0,0,1,1,0,0,1,1,279.1,-1.3,-2.0100000000000002,1,145.5,14.4,3.5439999999999996
85,0,0,0,0,0,0,1,1,0,0,1,1,279.1,-1.3,-2.0100000000000002,1,145.5,14.4,3.5439999999999996
86,0,1,1,0,0,0,0,3,0,1,2,0,282.29999999999995,-4.3,-1.4699999999999998,0,58.7,29.6,3.417
87,0,0,2,1,1,1,0,5,0,0,3,2,574.6999999999999,-4.4,4.209999999999999,2,255.5,46.5,7.813000000000001
88,0,0,1,1,0,2,2,3,0,0,2,3,749.6999999999999,0.7999999999999993,-9.24,4,459.5,35.0,9.635
89,0,0,0,0,0,1,1,1,0,0,1,2,335.2,2.9,-0.4800000000000004,2,239.0,10.3,4.593999999999999
90,0,0,0,0,0,1,1,2,0,0,2,2,410.29999999999995,2.5,0.9999999999999996,2,239.0,19.3,5.475
91,0,0,0,0,0,1,1,0,0,0,0,1,165.2,2.8,-0.33,1,115.5,5.2,2.228
92,0,0,0,0,0,1,2,1,0,0,1,2,444.3,1.4999999999999998,-2.3400000000000003,2,261.0,19.6,5.772
93,0,0,0,0,0,1,0,2,0,0,2,1,206.29999999999998,3.4,4.49,1,93.5,13.9,2.8120000000000003
94,0,0,2,1,1,0,0,3,0,0,1,0,396.4,-8.4,-7.39,1,167.0,31.8,4.675
95,0,0,1,1,0,2,2,2,0,0,1,3,674.5999999999999,1.1999999999999993,-10.72,4,459.5,26.0,8.754
96,0,0,0,0,0,0,1,0,0,0,0,1,204.0,-0.9,-3.49,1,145.5,5.4,2.663
97,0,0,0,0,0,1,2,0,0,0,0,2,369.2,1.9,-3.8200000000000003,2,261.0,10.600000000000001,4.891
98,0,0,0,0,0,1,1,2,0,0,2,2,410.29999999999995,2.5,0.9999999999999996,2,239.0,19.3,5.475
99,0,0,0,0,0,0,1,1,0,0,1,1,279.1,-1.3,-2.0100000000000002,1,145.5,14.4,3.5439999999999996
100,0,0,0,0,0,0,1,2,0,0,2,1,354.20000000000005,-1.7000000000000002,-0.5300000000000002,1,145.5,23.4,4.425
101,0,4,10,3,3,10,1,21,3,1,11,15,2875.9999999999995,13.1,1.9800000000000013,14,1647.1,177.99999999999997,39.361999999999995
102,0,6,13,4,3,8,1,21,4,2,8,13,2906.099999999999,-1.1,-26.2,13,1580.1,190.59999999999997,38.711
103,0,6,15,5,4,8,2,25,4,2,9,18,3585.599999999998,-7.9,-20.589999999999996,15,1954.7,236.0,48.531
104,0,6,16,5,5,10,2,28,5,1,12,17,3804.1999999999975,-4.699999999999999,-9.309999999999999,16,1999.6999999999998,262.59999999999997,51.81800000000001
105,0,1,4,1,2,2,0,7,0,1,3,3,938.1,-5.0,3.42,4,519.2,64.3,12.957
106,0,0,2,1,1,0,0,3,0,0,1,0,396.4,-8.4,-7.39,1,167.0,31.8,4.675
107,0,0,0,0,0,1,1,2,0,0,2,2,410.29999999999995,2.5,0.9999999999999996,2,239.0,19.3,5.475
108,0,16,22,2,4,2,0,26,14,2,4,15,3197.0999999999985,-29.199999999999992,-63.76,5,1432.0999999999997,243.99999999999994,41.74799999999999
109,0,0,3,3,0,0,0,3,0,0,0,3,438.59999999999997,-11.7,-8.399999999999999,3,300.0,33.900000000000006,6.774
110,0,0,3,3,0,0,0,3,0,0,0,3,438.59999999999997,-11.7,-8.399999999999999,3,300.0,33.900000000000006,6.774
111,0,0,3,2,1,0,0,3,0,0,0,2,439.5,-11.3,-4.56,2,262.0,34.900000000000006,6.378
112,0,1,2,1,0,0,0,3,1,0,1,2,340.4,-5.0,-5.5,1,151.3,28.900000000000002,4.664
113,0,0,0,0,0,1,0,2,0,0,2,1,232.2,2.6,1.46,1,113.4,13.9,3.113
114,0,5,7,1,1,3,3,11,2,3,4,8,1981.6999999999998,-9.400000000000002,-23.15,8,1125.6,116.60000000000001,26.346999999999998
115,0,0,4,4,0,0,0,4,0,0,0,4,584.8,-15.6,-11.2,4,400.0,45.2,9.032
116,0,0,4,4,0,2,0,6,0,0,2,6,833.0999999999999,-7.6,-5.3999999999999995,6,565.0,56.0,12.607999999999997
117,0,16,22,2,4,2,0,26,14,2,4,15,3197.0999999999985,-29.199999999999992,-63.76,5,1432.0999999999997,243.99999999999994,41.74799999999999
118,0,7,12,3,2,4,1,19,4,3,7,11,2604.999999999999,-19.8,-28.75,10,1382.5,177.60000000000002,35.318000000000005
119,1,8,15,4,3,5,1,23,4,4,7,12,3190.3999999999987,-22.4,-34.78,12,1694.1000000000001,215.80000000000004,42.527
120,1,4,9,2,3,2,0,17,3,1,6,6,2026.1999999999996,-16.4,-12.009999999999998,5,856.2,157.3,26.538999999999998
121,3,9,23,8,6,10,3,40,5,4,13,17,5629.099999999999,-38.50000000000001,-69.61999999999998,19,2783.8999999999996,383.5999999999999,73.16600000000003
122,0,0,2,2,0,0,1,3,0,0,1,2,599.5,-9.7,-14.72,3,350.5,36.2,7.734
123,0,5,9,3,1,3,3,13,2,3,4,10,2274.0999999999995,-17.2,-28.75,10,1325.6,139.19999999999996,30.862999999999996
124,0,4,6,0,2,2,3,9,1,3,3,5,1746.3999999999999,-12.500000000000004,-17.919999999999998,6,964.8,103.10000000000001,22.781000000000002
125,0,2,5,2,1,1,0,8,1,1,3,3,984.1,-13.4,-11.569999999999999,4,463.4,78.2,13.327
126,0,1,3,1,1,1,0,5,0,1,2,2,657.6999999999999,-8.299999999999999,-4.46,3,334.09999999999997,48.7,8.89
127,0,3,7,2,2,2,0,11,3,0,4,7,1370.4999999999995,-6.500000000000002,-6.379999999999999,4,692.3999999999999,100.5,18.497
128,0,0,1,0,1,1,1,2,0,0,1,2,482.3,-0.6000000000000005,0.5599999999999996,2,301.0,22.6,6.456
129,0,0,1,0,1,0,0,2,0,0,1,0,222.2,-3.9,2.52,0,62.0,21.3,2.7430000000000003
130,0,0,0,0,0,0,0,1,0,0,1,0,75.1,-0.4,1.48,0,0.0,9.0,0.881
131,0,1,3,1,1,0,0,3,1,0,0,1,398.4,-8.200000000000001,-7.55,1,191.3,32.8,5.418
132,0,1,4,2,1,0,0,4,1,0,0,2,544.5999999999999,-12.100000000000001,-10.35,2,291.3,44.099999999999994,7.676
133,0,0,1,1,0,2,0,3,0,0,2,3,408.59999999999997,4.4,3.28,3,287.0,21.400000000000002,5.9990000000000006
