,num_sulphur,num_polar_non_positive_non_negative,num_polar,num_positive,num_negative,num_hydrophobic,num_aromatic,num_non_aromatic,num_hydroxylic,num_amidic,num_aliphatic,num_essential,weight,hydrophobicity,hydration_energy,num_large_chains,sidechain_volume,polarity,sasa
0,0,0,0,0,0,1,0,1,0,0,1,1,131.2,3.8,3.01,1,93.5,4.9,1.931
1,0,0,0,0,0,1,0,1,0,0,1,1,131.2,3.8,3.01,1,93.5,4.9,1.931
2,0,2,11,2,7,3,0,17,0,2,6,4,2204.9999999999995,-23.799999999999997,-0.4799999999999982,5,1003.9000000000001,174.7,28.326999999999998
3,0,2,9,6,1,4,4,14,1,1,5,10,2584.1999999999994,-17.1,-39.72,14,1579.8999999999999,154.10000000000002,35.632
4,0,2,11,8,1,3,5,15,1,1,4,11,2963.399999999999,-32.4,-59.50999999999999,16,1809.3999999999999,177.3,40.254
5,0,1,9,5,3,5,2,16,1,0,7,11,2387.8999999999996,-8.7,-5.139999999999999,11,1355.1,160.5,33.050999999999995
6,0,6,16,7,3,4,2,21,2,4,5,10,3188.5999999999985,-36.099999999999994,-58.04999999999998,13,1755.5,221.80000000000007,42.656000000000006
7,0,1,1,0,0,0,0,1,1,0,0,0,105.1,-0.8,-5.79,0,29.3,9.2,1.298
8,0,3,10,5,2,1,4,11,2,1,1,6,2311.2999999999997,-32.3,-67.37,10,1321.2,137.9,29.908999999999995
9,2,6,13,4,3,8,0,24,4,2,8,14,3062.4999999999986,-3.000000000000001,-18.65,12,1571.3999999999999,205.20000000000005,41.316
10,1,1,7,3,3,2,1,12,1,0,4,5,1643.9,-16.200000000000003,-9.549999999999999,5,776.2,123.79999999999998,21.917
11,1,2,8,3,3,4,1,16,1,1,7,7,2085.2999999999993,-11.700000000000001,-6.919999999999999,7,977.9,156.2,27.743
12,0,1,8,4,3,3,0,11,0,1,3,7,1523.7,-17.8,-3.9199999999999995,7,881.2,110.09999999999998,21.504999999999995
13,1,12,20,3,5,13,4,33,6,6,11,19,4941.499999999999,-7.899999999999998,-38.529999999999994,19,2649.1,312.99999999999994,65.632
14,0,4,13,3,6,2,3,17,4,0,4,7,2711.5999999999995,-27.6,-34.010000000000005,8,1361.1,190.6,36.073
15,0,3,5,0,2,6,1,17,1,2,12,6,2142.2999999999997,2.0000000000000018,1.1899999999999995,6,982.8,147.20000000000002,28.194000000000003
16,0,5,15,6,4,5,3,24,2,3,6,15,3753.099999999998,-30.3,-42.44999999999999,15,2039.6,243.4,50.031000000000006
17,0,2,10,5,3,2,1,14,1,1,4,7,2134.2,-29.999999999999996,-27.950000000000006,9,1195.3000000000002,144.79999999999998,28.723999999999997
18,0,1,7,3,3,4,0,12,0,1,5,7,1637.8999999999999,-11.399999999999999,0.8400000000000003,7,938.6,111.00000000000001,22.811
19,0,3,10,3,4,3,1,14,0,3,4,6,2099.2999999999997,-27.0,-16.85,8,1141.8,147.39999999999998,28.421999999999997
20,0,2,9,4,3,2,1,12,0,2,3,6,1849.1,-28.4,-19.11,8,1049.6,128.9,25.628
21,0,2,9,3,4,1,1,11,0,2,2,4,1704.7999999999997,-31.8,-18.5,6,896.0999999999999,125.7,23.026
22,0,4,4,0,0,0,0,9,0,4,5,0,1025.9,-11.799999999999999,-14.199999999999998,0,401.09999999999997,86.69999999999999,13.099
23,0,2,9,3,4,4,1,14,0,2,5,7,2098.3999999999996,-19.7,-9.41,9,1176.6,140.7,28.698
24,3,5,10,2,3,6,2,17,2,3,4,4,2542.6999999999994,-17.2,-40.82999999999999,6,1219.1,167.29999999999998,32.553
25,1,5,11,2,4,4,2,15,0,5,3,5,2386.499999999999,-28.9,-26.430000000000003,8,1247.8,164.0,31.619000000000003
26,2,4,10,2,4,5,2,15,3,1,3,6,2294.6,-15.100000000000001,-25.57,7,1145.5,150.9,30.314999999999998
27,0,5,16,6,5,2,1,21,3,2,5,6,2971.099999999999,-47.4,-57.410000000000004,9,1454.5,220.8,38.1
28,0,8,16,5,3,2,0,20,1,7,4,5,2696.799999999999,-50.89999999999999,-55.68,8,1343.1000000000001,209.3,35.045
29,0,0,8,4,4,2,3,11,0,0,3,4,2082.2999999999997,-26.8,-35.53,9,1152.8999999999999,131.9,27.003999999999994
30,0,3,12,5,4,2,3,15,1,2,3,5,2611.8999999999996,-38.49999999999999,-52.49000000000001,11,1421.6,174.5,34.147
31,0,6,15,5,4,2,3,16,1,5,1,5,2785.899999999999,-49.0,-63.53,10,1502.4,194.09999999999997,36.281000000000006
32,0,2,11,4,5,2,2,13,0,2,2,6,2162.2999999999997,-33.3,-28.450000000000003,9,1140.0,154.20000000000002,28.786999999999995
33,0,3,9,4,2,3,1,12,1,2,3,6,1808.9999999999998,-19.4,-29.31,9,1007.5,124.9,24.232999999999997
34,0,6,20,7,7,3,3,24,2,4,4,8,3832.099999999998,-60.39999999999999,-66.56,15,2025.8,271.90000000000003,50.50400000000001
